0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, -0.002625, -0.004583, 0.005406, 0.000000
0.000001, 0.000000, -0.010559, -0.018117, 0.021327, 0.000002
0.000001, 0.000000, -0.023804, -0.040278, 0.047314, 0.000004
0.000001, 0.000000, -0.042419, -0.070745, 0.082921, 0.000007
0.000000, 0.000000, -0.066406, -0.109193, 0.127700, 0.000010
-0.000004, -0.000008, -0.095825, -0.155301, 0.181204, 0.000014
-0.000011, -0.000008, -0.130737, -0.208744, 0.242985, 0.000019
-0.000023, -0.000008, -0.171112, -0.269200, 0.312595, 0.000024
-0.000043, -0.000008, -0.217041, -0.336346, 0.389588, 0.000030
-0.000075, -0.000008, -0.268555, -0.409859, 0.473516, 0.000037
-0.000120, -0.000008, -0.325684, -0.489415, 0.563932, 0.000044
-0.000184, -0.000008, -0.388428, -0.574693, 0.660388, 0.000051
-0.000272, -0.000008, -0.456879, -0.665369, 0.762436, 0.000059
-0.000390, -0.000008, -0.531036, -0.761119, 0.869630, 0.000068
-0.000544, -0.000008, -0.610962, -0.861622, 0.981521, 0.000076
-0.000740, -0.000008, -0.696686, -0.966553, 1.097663, 0.000085
-0.000983, -0.000008, -0.787201, -1.075591, 1.217608, 0.000095
-0.001290, -0.000015, -0.884338, -1.188411, 1.340909, 0.000104
-0.001667, -0.000015, -0.987396, -1.304691, 1.467118, 0.000114
-0.002125, -0.000015, -1.096313, -1.424109, 1.595788, 0.000124
-0.002675, -0.000015, -1.211182, -1.546340, 1.726471, 0.000134
-0.003331, -0.000015, -1.332001, -1.671062, 1.858720, 0.000144
-0.004107, -0.000015, -1.458832, -1.797953, 1.992087, 0.000155
-0.005015, -0.000015, -1.591705, -1.926688, 2.126126, 0.000165
-0.006073, -0.000023, -1.730652, -2.056946, 2.260389, 0.000176
-0.007298, -0.000023, -1.875702, -2.188402, 2.394427, 0.000186
-0.008706, -0.000023, -2.026855, -2.320734, 2.527795, 0.000196
-0.010317, -0.000023, -2.184204, -2.453620, 2.660044, 0.000207
-0.012151, -0.000023, -2.347778, -2.586736, 2.790727, 0.000217
-0.014228, -0.000023, -2.517548, -2.719758, 2.919397, 0.000227
-0.016569, -0.000023, -2.693604, -2.852365, 3.045606, 0.000237
-0.019198, -0.000023, -2.875977, -2.984233, 3.168906, 0.000246
-0.022139, -0.000023, -3.064697, -3.115039, 3.288851, 0.000255
-0.025415, -0.000023, -3.259766, -3.244460, 3.404994, 0.000265
-0.029052, -0.000023, -3.461243, -3.372173, 3.516885, 0.000273
-0.033078, -0.000023, -3.669189, -3.497855, 3.624079, 0.000282
-0.037519, -0.000015, -3.883575, -3.621184, 3.726127, 0.000289
-0.042402, -0.000015, -4.104492, -3.741835, 3.822583, 0.000297
-0.047759, -0.000008, -4.331909, -3.859487, 3.912998, 0.000304
-0.053618, -0.000008, -4.565948, -3.973816, 3.996927, 0.000310
-0.060010, 0.000000, -4.806549, -4.084499, 4.073919, 0.000316
-0.066966, 0.000008, -5.053802, -4.191213, 4.143530, 0.000322
-0.074518, 0.000015, -5.307739, -4.293636, 4.205311, 0.000327
-0.082699, 0.000031, -5.568390, -4.391443, 4.258815, 0.000331
-0.091542, 0.000038, -5.835754, -4.484313, 4.303594, 0.000334
-0.101081, 0.000053, -6.109894, -4.571922, 4.339201, 0.000337
-0.111309, 0.000069, -6.389771, -4.653947, 4.365188, 0.000339
-0.122335, 0.000092, -6.677399, -4.730066, 4.381109, 0.000340
-0.134159, 0.000114, -6.971924, -4.799954, 4.386515, 0.000341
-0.146788, 0.000137, -7.272888, -4.866112, 4.385562, 0.000341
-0.160220, 0.000168, -7.579987, -4.931243, 4.382754, 0.000341
-0.174492, 0.000206, -7.893127, -4.995336, 4.378168, 0.000341
-0.189637, 0.000244, -8.212341, -5.058376, 4.371882, 0.000341
-0.205689, 0.000290, -8.537567, -5.120353, 4.363974, 0.000341
-0.222683, 0.000336, -8.868866, -5.181251, 4.354519, 0.000341
-0.240655, 0.000397, -9.206146, -5.241060, 4.343596, 0.000340
-0.259644, 0.000458, -9.549438, -5.299766, 4.331282, 0.000340
-0.279684, 0.000526, -9.898712, -5.357356, 4.317655, 0.000340
-0.300818, 0.000603, -10.253937, -5.413818, 4.302790, 0.000340
-0.323083, 0.000694, -10.615143, -5.469138, 4.286766, 0.000340
-0.346520, 0.000786, -10.982269, -5.523304, 4.269661, 0.000340
